timestamp,open,high,low,close,volume,datetime,symbol,exchange,timeframe
1738083600000,3150.8,3182.77,3150.8,3167.62,17572.0853,2025-01-28 17:00:00,ETH/USDT,binance,1h
1738083600000,234.38,237.17,233.65,234.32,128635.886,2025-01-28 17:00:00,SOL/USDT,binance,1h
1738087200000,102572.82,103108.0,102160.0,102205.79,1038.9277,2025-01-28 18:00:00,BTC/USDT,binance,1h
1738087200000,3167.62,3177.56,3141.0,3144.06,12785.9148,2025-01-28 18:00:00,ETH/USDT,binance,1h
1738087200000,234.32,236.0,230.63,231.12,148833.98,2025-01-28 18:00:00,SOL/USDT,binance,1h
1738090800000,102205.78,102660.0,101820.15,102424.24,708.69151,2025-01-28 19:00:00,BTC/USDT,binance,1h
1738090800000,3144.06,3150.49,3120.36,3147.31,19585.0183,2025-01-28 19:00:00,ETH/USDT,binance,1h
1738090800000,231.13,233.1,230.3,232.19,104364.121,2025-01-28 19:00:00,SOL/USDT,binance,1h
1738094400000,102424.24,102538.0,101197.04,101264.48,965.13217,2025-01-28 20:00:00,BTC/USDT,binance,1h
1738094400000,3147.31,3155.37,3093.03,3095.42,23944.2654,2025-01-28 20:00:00,ETH/USDT,binance,1h
1738094400000,232.2,232.6,227.44,228.1,151492.014,2025-01-28 20:00:00,SOL/USDT,binance,1h
1738098000000,101264.02,101547.22,100272.68,100334.01,1374.70182,2025-01-28 21:00:00,BTC/USDT,binance,1h
1738098000000,3095.42,3115.27,3052.15,3053.51,31612.7075,2025-01-28 21:00:00,ETH/USDT,binance,1h
1738098000000,228.1,229.89,225.51,225.85,215055.369,2025-01-28 21:00:00,SOL/USDT,binance,1h
1738101600000,100334.0,101404.0,100274.96,101265.63,856.17912,2025-01-28 22:00:00,BTC/USDT,binance,1h
1738101600000,3053.5,3091.06,3040.03,3084.16,28997.0754,2025-01-28 22:00:00,ETH/USDT,binance,1h
1738101600000,225.84,228.24,225.01,227.09,187025.947,2025-01-28 22:00:00,SOL/USDT,binance,1h
1738105200000,101265.63,101450.0,100750.0,101335.52,647.24354,2025-01-28 23:00:00,BTC/USDT,binance,1h
1738105200000,3084.15,3097.0,3053.84,3077.72,13154.6054,2025-01-28 23:00:00,ETH/USDT,binance,1h
1738105200000,227.09,227.6,225.11,227.06,116481.521,2025-01-28 23:00:00,SOL/USDT,binance,1h
1738108800000,101335.52,101819.67,101328.01,101702.59,503.58708,2025-01-29 00:00:00,BTC/USDT,binance,1h
1738108800000,3077.72,3117.43,3076.31,3110.14,13530.1419,2025-01-29 00:00:00,ETH/USDT,binance,1h
1738108800000,227.06,229.65,226.79,228.71,116555.668,2025-01-29 00:00:00,SOL/USDT,binance,1h
1738112400000,101702.6,101993.68,101461.12,101845.02,465.55965,2025-01-29 01:00:00,BTC/USDT,binance,1h
1738112400000,3110.15,3120.0,3099.21,3110.78,7998.1706,2025-01-29 01:00:00,ETH/USDT,binance,1h
1738112400000,228.71,230.23,228.41,229.66,81737.075,2025-01-29 01:00:00,SOL/USDT,binance,1h
1738116000000,101845.02,102319.69,101696.01,101795.4,365.79734,2025-01-29 02:00:00,BTC/USDT,binance,1h
1738116000000,3110.78,3129.43,3110.1,3114.1,8658.1699,2025-01-29 02:00:00,ETH/USDT,binance,1h
1738116000000,229.66,232.0,229.58,230.09,84543.48,2025-01-29 02:00:00,SOL/USDT,binance,1h
1738119600000,101795.41,102162.8,101764.24,102038.2,361.43929,2025-01-29 03:00:00,BTC/USDT,binance,1h
1738119600000,3114.1,3132.69,3108.15,3130.43,8379.2752,2025-01-29 03:00:00,ETH/USDT,binance,1h
1738119600000,230.09,231.83,229.8,231.2,61414.227,2025-01-29 03:00:00,SOL/USDT,binance,1h
1738123200000,102038.21,102190.0,101955.51,102001.06,323.51148,2025-01-29 04:00:00,BTC/USDT,binance,1h
1738123200000,3130.43,3140.0,3123.01,3124.33,8931.682,2025-01-29 04:00:00,ETH/USDT,binance,1h
1738123200000,231.2,231.76,230.33,230.98,61130.048,2025-01-29 04:00:00,SOL/USDT,binance,1h
1738126800000,102001.06,102384.61,101980.27,102262.0,414.72434,2025-01-29 05:00:00,BTC/USDT,binance,1h
1738126800000,3124.32,3134.41,3117.01,3131.0,6550.9005,2025-01-29 05:00:00,ETH/USDT,binance,1h
1738126800000,230.97,231.75,229.83,230.88,59272.243,2025-01-29 05:00:00,SOL/USDT,binance,1h
1738130400000,102262.0,102853.53,102237.05,102801.64,572.47612,2025-01-29 06:00:00,BTC/USDT,binance,1h
1738130400000,3131.0,3150.27,3128.65,3147.32,8795.4613,2025-01-29 06:00:00,ETH/USDT,binance,1h
1738130400000,230.88,233.83,230.88,233.82,103690.752,2025-01-29 06:00:00,SOL/USDT,binance,1h
1738134000000,102801.64,102815.66,102449.97,102755.82,453.49449,2025-01-29 07:00:00,BTC/USDT,binance,1h
1738134000000,3147.32,3160.0,3139.01,3156.89,7438.9456,2025-01-29 07:00:00,ETH/USDT,binance,1h
1738134000000,233.82,234.78,232.8,234.41,77232.19,2025-01-29 07:00:00,SOL/USDT,binance,1h
1738137600000,102755.81,103000.0,102680.0,102732.03,527.67437,2025-01-29 08:00:00,BTC/USDT,binance,1h
1738137600000,3156.88,3164.11,3143.35,3147.51,9373.1244,2025-01-29 08:00:00,ETH/USDT,binance,1h
1738137600000,234.42,235.9,233.27,233.79,74440.955,2025-01-29 08:00:00,SOL/USDT,binance,1h
1738141200000,102732.03,102770.0,102303.68,102334.4,636.15136,2025-01-29 09:00:00,BTC/USDT,binance,1h
1738141200000,3147.5,3148.46,3123.14,3130.32,8801.3608,2025-01-29 09:00:00,ETH/USDT,binance,1h
1738141200000,233.79,233.98,230.88,231.19,91226.629,2025-01-29 09:00:00,SOL/USDT,binance,1h
1738144800000,102334.41,102726.77,102180.65,102547.01,380.5246,2025-01-29 10:00:00,BTC/USDT,binance,1h
1738144800000,3130.32,3143.53,3119.8,3137.7,7587.6034,2025-01-29 10:00:00,ETH/USDT,binance,1h
1738144800000,231.19,232.67,230.14,231.84,75786.436,2025-01-29 10:00:00,SOL/USDT,binance,1h
1738148400000,102547.01,102809.52,102425.87,102646.0,665.36345,2025-01-29 11:00:00,BTC/USDT,binance,1h
1738148400000,3137.7,3144.0,3132.03,3135.13,5536.0587,2025-01-29 11:00:00,ETH/USDT,binance,1h
1738148400000,231.85,233.2,231.24,231.99,57552.593,2025-01-29 11:00:00,SOL/USDT,binance,1h
1738152000000,102646.0,102842.04,102220.13,102229.85,788.66391,2025-01-29 12:00:00,BTC/USDT,binance,1h
1738152000000,3135.13,3140.38,3112.92,3118.7,11845.2882,2025-01-29 12:00:00,ETH/USDT,binance,1h
1738152000000,231.98,232.03,228.44,228.57,125664.385,2025-01-29 12:00:00,SOL/USDT,binance,1h
1738155600000,102229.85,102330.81,101699.59,101836.23,1753.23136,2025-01-29 13:00:00,BTC/USDT,binance,1h
1738155600000,3118.71,3122.18,3089.26,3102.5,19797.0346,2025-01-29 13:00:00,ETH/USDT,binance,1h
1738155600000,228.57,228.99,226.0,227.18,194198.664,2025-01-29 13:00:00,SOL/USDT,binance,1h
1738159200000,101836.23,102380.0,101582.37,102029.93,1034.80608,2025-01-29 14:00:00,BTC/USDT,binance,1h
1738159200000,3102.5,3116.9,3080.57,3096.62,18701.1968,2025-01-29 14:00:00,ETH/USDT,binance,1h
1738159200000,227.17,228.95,226.5,227.78,151740.761,2025-01-29 14:00:00,SOL/USDT,binance,1h
1738162800000,102029.94,102531.64,101798.01,101980.78,805.96141,2025-01-29 15:00:00,BTC/USDT,binance,1h
1738162800000,3096.62,3119.19,3094.16,3101.12,12913.7357,2025-01-29 15:00:00,ETH/USDT,binance,1h
1738162800000,227.78,229.77,227.15,228.4,132463.705,2025-01-29 15:00:00,SOL/USDT,binance,1h
1738166400000,101980.78,102150.0,101675.62,102092.01,630.14712,2025-01-29 16:00:00,BTC/USDT,binance,1h
1738166400000,3101.11,3105.34,3072.57,3086.09,13269.011,2025-01-29 16:00:00,ETH/USDT,binance,1h
1738166400000,228.41,228.81,226.31,226.88,102916.291,2025-01-29 16:00:00,SOL/USDT,binance,1h
1738170000000,102092.0,102777.78,101995.37,102406.98,812.35271,2025-01-29 17:00:00,BTC/USDT,binance,1h
1738170000000,3086.09,3132.08,3084.66,3111.59,12740.5843,2025-01-29 17:00:00,ETH/USDT,binance,1h
1738170000000,226.88,230.83,226.71,228.91,132920.889,2025-01-29 17:00:00,SOL/USDT,binance,1h
1738173600000,102406.97,103000.0,102008.0,102854.15,941.94334,2025-01-29 18:00:00,BTC/USDT,binance,1h
1738173600000,3111.6,3135.16,3089.64,3127.94,14390.7972,2025-01-29 18:00:00,ETH/USDT,binance,1h
1738173600000,228.92,231.5,227.4,230.99,172381.87,2025-01-29 18:00:00,SOL/USDT,binance,1h
1738177200000,102854.14,103999.0,101400.01,103583.99,4875.47463,2025-01-29 19:00:00,BTC/USDT,binance,1h
1738177200000,3127.94,3153.22,3054.06,3126.5,98422.1625,2025-01-29 19:00:00,ETH/USDT,binance,1h
1738177200000,230.98,236.12,222.63,231.68,951423.601,2025-01-29 19:00:00,SOL/USDT,binance,1h
1738180800000,103584.0,104782.68,102868.0,104193.93,2958.23804,2025-01-29 20:00:00,BTC/USDT,binance,1h
1738180800000,3126.49,3182.52,3091.0,3136.56,54864.0209,2025-01-29 20:00:00,ETH/USDT,binance,1h
1738180800000,231.68,238.49,228.71,234.53,441071.336,2025-01-29 20:00:00,SOL/USDT,binance,1h
1738184400000,104193.92,104393.93,103715.5,103741.11,1513.96665,2025-01-29 21:00:00,BTC/USDT,binance,1h
1738184400000,3136.56,3163.36,3113.64,3140.61,28435.9521,2025-01-29 21:00:00,ETH/USDT,binance,1h
1738184400000,234.52,238.05,232.15,234.66,249787.048,2025-01-29 21:00:00,SOL/USDT,binance,1h
1738188000000,103741.11,104010.94,103405.77,103492.06,715.81564,2025-01-29 22:00:00,BTC/USDT,binance,1h
1738188000000,3140.6,3159.35,3124.5,3132.45,11785.2572,2025-01-29 22:00:00,ETH/USDT,binance,1h
1738188000000,234.66,235.49,231.63,231.69,120040.032,2025-01-29 22:00:00,SOL/USDT,binance,1h
1738191600000,103492.07,104344.64,103460.0,103733.24,654.45356,2025-01-29 23:00:00,BTC/USDT,binance,1h
1738191600000,3132.45,3149.0,3109.5,3113.9,10991.3228,2025-01-29 23:00:00,ETH/USDT,binance,1h
1738191600000,231.68,232.32,227.61,228.16,125002.96,2025-01-29 23:00:00,SOL/USDT,binance,1h
1738195200000,103733.25,104123.36,103278.54,104026.04,797.51926,2025-01-30 00:00:00,BTC/USDT,binance,1h
1738195200000,3113.9,3127.18,3091.06,3124.42,14048.5705,2025-01-30 00:00:00,ETH/USDT,binance,1h
1738195200000,228.16,231.52,226.84,231.32,160252.362,2025-01-30 00:00:00,SOL/USDT,binance,1h
1738198800000,104026.05,104555.0,103925.0,104264.15,773.76345,2025-01-30 01:00:00,BTC/USDT,binance,1h
1738198800000,3124.42,3155.51,3121.0,3138.39,13511.1365,2025-01-30 01:00:00,ETH/USDT,binance,1h
1738198800000,231.33,235.6,230.81,234.49,178806.898,2025-01-30 01:00:00,SOL/USDT,binance,1h
1738202400000,104264.15,104668.35,103994.46,104663.19,823.76503,2025-01-30 02:00:00,BTC/USDT,binance,1h
1738202400000,3138.39,3155.37,3128.07,3155.37,13166.2832,2025-01-30 02:00:00,ETH/USDT,binance,1h
